Year,Make,Model,NewUsed,ExteriorColor,InteriorColor,Trim,Transmission,VIN,SellingPrice,Miles,VehicleDescription,Certified,EPACity,EPAHighway,ImageList,car_details_link,features
2023,Chevrolet,Traverse,USED,Summit White,Jet Black,FWD 4dr Premier,Automatic,1GNERKKW5PJ188938,41816,20337,"CARFAX One-Owner. Clean CARFAX. Summit White 2023 Chevrolet Traverse Premier FWD 9-Speed Automatic 3.6L V6 SIDI VVT Factory Certified, Automatic temperature control, Dual SkyScape 2-Panel Power Sunroof, Exterior Parking Camera Rear, Front dual zone A/C, Heated 2nd Row Outboard Position Seats, Heated Driver & Front Passenger Seats, Navigation System, Power Liftgate, Preferred Equipment Group 1LZ, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Ventilated Driver & Front Passenger Seats, Wheels: 20 Metallic Machined-Face Aluminum.Recent Arrival! 18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",False,18,27,https://content.homenetiol.com/2000466/2078700/640x480/2ec2b096fc6a49f095f671b874a9a256.jpg,https://www.goschchevy.com/inventory/1GNERKKW5PJ188938/,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????"
2023,Chevrolet,Silverado 1500,USED,Black,Jet Black,"2WD Crew Cab 147"" LT",Automatic,3GCPACEK6PG255863,39849,12029,"CARFAX One-Owner. Clean CARFAX. Black 2023 Chevrolet Silverado 1500 LT RWD 8-Speed Automatic 2.7L Turbo 8-Speed Automatic, Black Cloth.If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",False,19,22,https://content.homenetiol.com/2000466/2078700/640x480/8cb6a970fc0d447aa362ca15ce2a819a.jpg,https://www.goschchevy.com/inventory/3GCPACEK6PG255863/,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it."
2023,Chevrolet,Silverado 1500,USED,Radiant Red Tintcoat,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACED6PZ171494,45555,16121,"CARFAX One-Owner. Clean CARFAX. Radiant Red Tintcoat 2023 Chevrolet Silverado 1500 LT RWD 10-Speed Automatic EcoTec3 5.3L V8 10-Way Power Driver Seat w/Lumbar, 12.3 Multicolor Reconfigurable Digital Display, 120-Volt Bed Mounted Power Outlet, 120-Volt Instrument Panel Power Outlet, All-Star Edition, Auto-Locking Rear Differential, BluetoothÂ® For Phone, Chevrolet Connected Access Capable, Chrome Mirror Caps, Color-Keyed Carpeting Floor Covering, Compass, Convenience Package, Deep-Tinted Glass, Dual Rear USB Ports (Charge Only), Dual-Zone Automatic Climate Control, Electric Rear-Window Defogger, Electrical Steering Column Lock, Electronic Cruise Control, EZ Lift Power Lock & Release Tailgate, Front Rubberized Vinyl Floor Mats, HD Rear Vision Camera, Heated Driver & Front Outboard Passenger Seats, Heated Power-Adjustable Outside Mirrors, Heated Steering Wheel, Hitch Guidance, Inside Rear-View Mirror w/Tilt, Keyless Open & Start, LED Cargo Area Lighting, OnStar & Chevrolet Connected Services Capable, Power Front Windows w/Driver Express Up/Down, Power Front Windows w/Passenger Express Down, Power Rear Windows w/Express Down, Preferred Equipment Group 1LT, Rear 60/40 Folding Bench Seat (Folds Up), Rear Rubberized-Vinyl Floor Mats, Remote Start Package, Remote Vehicle Starter System, SiriusXM w/360L, Standard Suspension Package, Standard Tailgate, Steering Wheel Audio Controls, Theft Deterrent System (Unauthorized Entry), Trailering Package, Wheels: 17 x 8 Bright Silver Painted Aluminum, Wi-Fi Hot Spot Capable, Wireless Phone Projection, Wrapped Steering Wheel.Recent Arrival!If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",False,17,21,https://content.homenetiol.com/2000466/2078700/640x480/531c0c86194d49aaa052dc0ec70660ee.jpg,https://www.goschchevy.com/inventory/1GCPACED6PZ171494/,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it."
2023,Chevrolet,Blazer,NEW,Sterling Gray Metallic,Jet Black,FWD 4dr Premier,Automatic,3GNKBFR40PS196916,43331,49,,False,22,29,https://content.homenetiol.com/2000466/2078700/640x480/4fc6eff3990b43eda2db53d20d6882dc.jpg,https://www.goschchevy.com/inventory/3GNKBFR40PS196916/,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers."
2023,Chevrolet,Blazer,NEW,Sterling Gray Metallic,Jet Black,FWD 4dr Premier,Automatic,3GNKBFR44PS218996,43462,36,,False,22,29,https://content.homenetiol.com/2000466/2078700/640x480/f8d4d2b5c6fd44699010a7a1c65f5b4b.jpg,https://www.goschchevy.com/inventory/3GNKBFR44PS218996/,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers."
2024,Chevrolet,Silverado 1500,NEW,Summit White,Jet Black,"2WD Double Cab 147"" Custom",Automatic,1GCRABEK3RZ117087,42240,9,,False,19,22,https://content.homenetiol.com/2000466/2078700/640x480/e8c4a1440f9b46da80cf2316379bb8aa.jpg,https://www.goschchevy.com/inventory/1GCRABEK3RZ117087/,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it."
2024,Chevrolet,Silverado 1500,NEW,Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACEDXRZ120972,55140,5,,False,17,21,https://content.homenetiol.com/2000466/2078700/640x480/98491bd0e49e4c47acc625a996d851fd.jpg,https://www.goschchevy.com/inventory/1GCPACEDXRZ120972/,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it."
2024,Chevrolet,Malibu,NEW,Mineral Gray Metallic,Jet Black,4dr Sdn 1LT,Automatic,1G1ZD5ST0RF108041,29195,2,,False,27,35,https://content.homenetiol.com/2000466/2078700/640x480/f79e8b20b6c24ccfbbd92eaadb401c71.jpg,https://www.goschchevy.com/inventory/1G1ZD5ST0RF108041/,"a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys."
2024,Chevrolet,Silverado 1500,NEW,Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACED4RZ120885,55140,3,,False,17,21,https://content.homenetiol.com/2000466/2078700/640x480/724f9e6601a046c5873f70ab74c4e955.jpg,https://www.goschchevy.com/inventory/1GCPACED4RZ120885/,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it."
2024,Chevrolet,Malibu,NEW,Mineral Gray Metallic,Jet Black,4dr Sdn 1LT,Automatic,1G1ZD5STXRF108063,29195,2,,False,27,35,https://content.homenetiol.com/2000466/2078700/640x480/8806021698bd46e493cb51b85b33d107.jpg,https://www.goschchevy.com/inventory/1G1ZD5STXRF108063/,"a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys."
